actor_i,actor_j,portfolio_emd_1d,geo_km,log_geo_km
Belarus,Iceland,0.13475105803080314,2822.077316481592,7.945228529798465
Belarus,India,0.10069063960435355,5557.76957489217,8.622952151165263
Belarus,Italy,0.09515764540751499,1666.8945326253956,7.418717612978096
Belarus,Japan,0.04787844576465079,8020.788377072553,8.989791997409913
Belarus,Kazakhstan,0.2143956000056278,2737.986419028189,7.9149780456564685
Belarus,Korea (DPRK),0.14833561060952113,7026.690026619136,8.857471038453077
Belarus,Korea (ROK),0.05669655343272911,7439.927344331635,8.91461636223263
Belarus,Malaysia,0.18247933298309307,8634.592003277681,9.06353174027836
Belarus,Netherlands,0.1540061087402426,1507.5872701259004,7.318265817556522
Belarus,New Zealand,0.25018669839800733,17092.542195336457,9.746397518431177
Belarus,Norway,0.23229241455086522,2924.994024549898,7.981047716774946
Belarus,Peru,0.03181397797615278,11732.856197804476,9.37014840713139
Belarus,Poland,0.14738311045557997,619.1906789869992,6.428413268846645
Belarus,Portugal,0.06184468595934382,3132.7238376208043,8.04965814076028
Belarus,Romania,0.060396277075996374,890.2189034574884,6.791467391424242
Belarus,Russian Federation,0.11654601539342457,3645.4364418450878,8.201231374406552
Belarus,Slovakia,0.13475105803080314,793.5519465223006,6.6765190028801795
Belarus,South Africa,0.12241313965143377,9132.104900670201,9.119551494735505
Belarus,Spain,0.178642504078527,2798.2764224040716,7.9367589431992265
Belarus,Sweden,0.1155731286393541,1218.0555943498396,7.105011091193574
Belarus,Switzerland,0.09293447217200526,1576.8342574460492,7.363174481532268
Belarus,Türkiye,0.12941719196815113,1774.4812730427568,7.481263418659636
Belarus,Ukraine,0.1279112005928094,588.4561014837678,6.377502330007732
Belarus,United Kingdom,0.24173937026798378,1919.0179113475565,7.55956882965229
Belarus,United States,0.2236399885709487,8702.343838816723,9.071347675119734
Belarus,Uruguay,0.056653907882432034,12463.775298440272,9.430581739902474
Belarus,Venezuela,0.14617788818649638,9637.657533277034,9.173433363603314
Belgium,Brazil,0.033618940018863626,8917.412806848928,9.095761139427905
Belgium,Bulgaria,0.15244243162440996,1775.9538030203403,7.4820929114009305
Belgium,Canada,0.10168017538883284,6683.060807411186,8.807331366289246
Belgium,Chile,0.07972703899156965,13535.370285286172,9.513061559286761
Belgium,China,0.10229314382101869,7196.970119815411,8.88141539974365
Belgium,Colombia,0.18425441960256353,8766.580330900442,9.07870208126299
Belgium,Czechia,0.043763173325956826,773.9700543087996,6.651533183317754
Belgium,Denmark,0.16884724467842513,710.8387562047017,6.566445619561523
Belgium,Ecuador,0.04368533563105786,9667.160941683323,9.176489950891586
Belgium,Estonia,0.1414918880246338,1595.9076802807672,7.3751979319010905
Belgium,Finland,0.03208308776888891,2069.294576257707,7.634963043762643
Belgium,France,0.10635426485798549,453.0170716509923,6.1159298105367235
Belgium,Germany,0.11077821648104087,409.4531154980826,6.014822404670233
Belgium,Greece,0.1930927573535575,1848.2379934681364,7.521988028253867
Belgium,Iceland,0.1798554145301143,2086.6008703463754,7.64329164314601
Belgium,India,0.05174657864873325,7063.374710050211,8.86267822053605
Belgium,Italy,0.03919164962345579,1075.5541113105103,6.980591260143687
Belgium,Japan,0.05374634332570812,9361.99221378777,9.1444133901771
Belgium,Kazakhstan,0.27818927362248635,4341.140503187847,8.375892381324494
Belgium,Korea (DPRK),0.19083392431885923,8443.299547794006,9.041128452873968
Belgium,Korea (ROK),0.03712287788450803,8880.352744295014,9.091596558653906
Belgium,Malaysia,0.2462730065999516,10193.918796660198,9.229546625070752
