model,window_end,mean_active_topics_mean,mean_active_topics_q05,mean_active_topics_q25,mean_active_topics_q75,mean_active_topics_q95,mean_topic_popularity_mean,mean_topic_popularity_q05,mean_topic_popularity_q25,mean_topic_popularity_q75,mean_topic_popularity_q95,mean_active_topics_obs,mean_topic_popularity_obs
split_support,1995,2.4732730263157894,2.248684210526316,2.3684210526315788,2.5526315789473686,2.6578947368421053,2.0885416666666665,1.8988888888888888,2.0,2.1555555555555554,2.2444444444444445,2.263157894736842,1.9111111111111112
split_support,1996,3.282939189189189,3.027027027027027,3.189189189189189,3.3783783783783785,3.5594594594594593,2.6993055555555556,2.488888888888889,2.6222222222222222,2.7777777777777777,2.9266666666666663,3.3513513513513513,2.7555555555555555
split_support,1997,3.410657051282051,3.1794871794871793,3.3076923076923075,3.5128205128205128,3.6628205128205127,2.9559027777777778,2.7555555555555555,2.8666666666666667,3.0444444444444443,3.174444444444444,3.1025641025641026,2.688888888888889
split_support,1998,2.80859375,2.59375,2.71875,2.90625,3.0265625,1.9972222222222222,1.8444444444444446,1.9333333333333333,2.066666666666667,2.152222222222222,2.75,1.9555555555555555
split_support,1999,3.3155487804878048,3.05609756097561,3.213414634146342,3.4146341463414633,3.5573170731707315,3.0208333333333335,2.7844444444444445,2.9277777777777776,3.111111111111111,3.241111111111111,3.7560975609756095,3.422222222222222
split_support,2001,2.1109375,1.8666666666666667,2.033333333333333,2.2083333333333335,2.3616666666666664,1.4072916666666666,1.2444444444444445,1.3555555555555556,1.472222222222222,1.5744444444444443,2.3333333333333335,1.5555555555555556
split_support,2002,2.9803571428571427,2.718571428571429,2.8785714285714286,3.1142857142857143,3.1714285714285713,2.3180555555555555,2.1144444444444446,2.238888888888889,2.422222222222222,2.466666666666667,3.3714285714285714,2.6222222222222222
split_support,2003,3.4350961538461537,3.183333333333333,3.3076923076923075,3.5448717948717947,3.6923076923076925,2.9770833333333333,2.758888888888889,2.8666666666666667,3.0722222222222224,3.2,3.641025641025641,3.1555555555555554
split_support,2004,3.810810810810811,3.4364864864864866,3.72972972972973,3.945945945945946,4.081081081081081,3.1333333333333333,2.825555555555556,3.066666666666667,3.2444444444444445,3.3555555555555556,3.5945945945945947,2.9555555555555557
split_support,2005,4.3984375,4.105263157894737,4.2631578947368425,4.526315789473684,4.732894736842105,3.714236111111111,3.466666666666667,3.6,3.8222222222222224,3.9966666666666666,4.394736842105263,3.7111111111111112
split_support,2006,3.7672275641025643,3.4871794871794872,3.608974358974359,3.923076923076923,4.069230769230769,3.2649305555555554,3.022222222222222,3.1277777777777778,3.4,3.5266666666666664,3.8974358974358974,3.3777777777777778
split_support,2007,4.137419871794871,3.8974358974358974,4.019230769230769,4.282051282051282,4.453846153846154,3.5857638888888888,3.3777777777777778,3.4833333333333334,3.7111111111111112,3.86,4.333333333333333,3.7555555555555555
split_support,2008,4.080180921052632,3.7973684210526315,3.986842105263158,4.2105263157894735,4.342105263157895,3.4454861111111112,3.206666666666667,3.3666666666666667,3.5555555555555554,3.6666666666666665,4.368421052631579,3.688888888888889
split_support,2009,4.067578125,3.8074999999999997,3.95,4.18125,4.39625,3.615625,3.3844444444444446,3.511111111111111,3.716666666666667,3.9077777777777776,3.85,3.422222222222222
split_support,2010,4.291360294117647,3.911764705882353,4.169117647058824,4.4411764705882355,4.672058823529412,3.2423611111111112,2.9555555555555557,3.15,3.3555555555555556,3.53,4.617647058823529,3.488888888888889
split_support,2011,4.359821428571428,3.955714285714286,4.228571428571429,4.514285714285714,4.71,3.390972222222222,3.0766666666666667,3.2888888888888888,3.511111111111111,3.663333333333333,4.542857142857143,3.533333333333333
split_support,2012,3.999107142857143,3.694285714285714,3.907142857142857,4.085714285714285,4.305714285714285,3.1104166666666666,2.8733333333333335,3.0388888888888888,3.1777777777777776,3.348888888888889,3.4571428571428573,2.688888888888889
split_support,2013,4.185096153846154,3.8243589743589745,3.9935897435897436,4.384615384615385,4.56025641025641,3.627083333333333,3.3144444444444443,3.4611111111111112,3.8,3.9522222222222223,4.256410256410256,3.688888888888889
split_support,2014,4.074746621621622,3.67972972972973,3.918918918918919,4.243243243243243,4.424324324324324,3.350347222222222,3.0255555555555556,3.2222222222222223,3.488888888888889,3.6377777777777776,3.891891891891892,3.2
split_support,2015,4.006478658536586,3.686585365853659,3.8780487804878048,4.103658536585366,4.337804878048781,3.6503472222222224,3.358888888888889,3.533333333333333,3.738888888888889,3.9522222222222223,3.8292682926829267,3.488888888888889
split_support,2016,3.9680397727272725,3.6363636363636362,3.8636363636363638,4.096590909090909,4.246590909090909,3.879861111111111,3.5555555555555554,3.7777777777777777,4.0055555555555555,4.152222222222222,3.8863636363636362,3.8
split_support,2017,4.2260841836734695,3.9418367346938776,4.061224489795919,4.377551020408163,4.530612244897959,4.601736111111111,4.292222222222222,4.4222222222222225,4.766666666666667,4.933333333333334,3.9183673469387754,4.266666666666667
split_support,2018,3.6966145833333335,3.4444444444444446,3.611111111111111,3.8055555555555554,3.9402777777777778,2.957291666666667,2.7555555555555555,2.888888888888889,3.0444444444444443,3.152222222222222,3.138888888888889,2.511111111111111
split_support,2019,4.1915760869565215,3.854347826086957,4.065217391304348,4.326086956521739,4.558695652173912,4.284722222222222,3.94,4.155555555555556,4.4222222222222225,4.66,4.195652173913044,4.288888888888889
split_support,2021,2.7013081395348837,2.425581395348837,2.5813953488372094,2.813953488372093,2.9499999999999997,2.58125,2.3177777777777777,2.466666666666667,2.688888888888889,2.818888888888889,4.093023255813954,3.911111111111111
split_support,2022,3.917151162790698,3.588372093023256,3.7906976744186047,4.052325581395349,4.205813953488373,3.7430555555555554,3.428888888888889,3.6222222222222222,3.8722222222222222,4.018888888888888,3.9767441860465116,3.8
split_support,2023,4.5546875,4.1431818181818185,4.426136363636363,4.704545454545454,4.951136363636363,4.4534722222222225,4.051111111111111,4.3277777777777775,4.6,4.84111111111111,4.340909090909091,4.2444444444444445
split_support,2024,4.755095108695652,4.317391304347826,4.608695652173913,4.891304347826087,5.127173913043478,4.860763888888889,4.413333333333334,4.711111111111111,5.0,5.241111111111111,4.5,4.6
split_support,2025,4.886968085106383,4.477659574468085,4.776595744680852,5.026595744680851,5.230851063829787,5.104166666666667,4.676666666666667,4.988888888888889,5.25,5.463333333333333,4.659574468085107,4.866666666666666
two_stage,1961,2.38671875,1.9291666666666667,2.1666666666666665,2.5,2.9166666666666665,0.6364583333333333,0.5144444444444444,0.5777777777777777,0.6666666666666666,0.7777777777777778,2.5833333333333335,0.6888888888888889
two_stage,1962,2.2447916666666665,1.7777777777777777,2.0833333333333335,2.4444444444444446,2.6666666666666665,0.44895833333333335,0.35555555555555557,0.4166666666666667,0.4888888888888889,0.5333333333333333,1.5555555555555556,0.3111111111111111
two_stage,1964,2.9270833333333335,2.5,2.6666666666666665,3.1666666666666665,3.5,0.7805555555555556,0.6666666666666666,0.7111111111111111,0.8444444444444444,0.9333333333333333,2.5,0.6666666666666666
two_stage,1966,2.5703125,2.0,2.3333333333333335,2.854166666666667,3.154166666666666,0.6854166666666667,0.5333333333333333,0.6222222222222222,0.7611111111111111,0.841111111111111,3.3333333333333335,0.8888888888888888
